Network;Block;BlockType;SignalName;InputOrParameter;SourceOrValue;OutputDestination;PurposeOrImportantSetting
1;B001;AND with edge evaluation;CycleEdge;IN1;I1;B002.IN1;Positive edge must be evaluated before all gates
2;B002;AND;CountGate;IN1;B001.Q;B003.Cnt|B004.Cnt;Pass one cycle pulse
2;B002;AND;CountGate;IN2;NI1 AutomaticEnabled;B003.Cnt|B004.Cnt;Automatic command bit0 required
2;B002;AND;CountGate;IN3 inverted;NI5 PauseCounting;B003.Cnt|B004.Cnt;Pause blocks counting
2;B002;AND;CountGate;IN4 inverted;B003.Q TargetReached;B003.Cnt|B004.Cnt;Prevent overcount after target
2;B002;AND;CountGate;IN5 inverted;B014.Q ValveActive;B003.Cnt|B004.Cnt;No count during changer pulse
2;B002;AND;CountGate;IN6;ConfigValid;B003.Cnt|B004.Cnt;Invalid parameter set blocks counting
2;B002;AND;CountGate;IN7 inverted;B045.Q CompletionHoldActive;B003.Cnt|B004.Cnt;Protocol V3 local boundary blocks next cycle before PC poll
3;B003;Up/Down counter;CurrentVECycles;Cnt;B002.Q;VD42 via parameter mapping;Counts cycles of current VE
3;B003;Up/Down counter;CurrentVECycles;Dir;CONST_0;;Count upwards
3;B003;Up/Down counter;CurrentVECycles;R;B016.Q OR B025.Q;;Reset after VE snapshot or new job
3;B003;Up/Down counter;CurrentVECycles;OnThreshold;VD18 parameter mapping;B003.Q;TargetCyclesPerVE from PC
3;B003;Up/Down counter;CurrentVECycles;Counter;parameter mapping VD42;;Returned HR22/HR23
4;B004;Up/Down counter;TotalCycles;Cnt;B002.Q;VD46 via parameter mapping;Overall cycles in current job max999999
4;B004;Up/Down counter;TotalCycles;R;B025.Q;;Reset only for new job
4;B004;Up/Down counter;TotalCycles;Counter;parameter mapping VD46;;Returned HR24/HR25
5;B005;On-delay;AutoReachedStable;Trg;B003.Q;B006.IN1;Wait50ms so mapped count is stable
5;B005;On-delay;AutoReachedStable;T;50ms;B006.IN1;B002 blocks further counting while target reached
5;B006;AND with edge evaluation;AutoCompletionPulse;IN1;B005.Q;B009.IN1;One automatic completion pulse
6;B007;Analog threshold trigger;CurrentVeNonZero;Ax;NAI10 VW44;B008.IN3;Q true when current VE cycles >=1
