Signal;LOGO_Terminal;SignalType;NominalVoltage;SourceDestination;Function;RequiredProtection;CommissioningCheck
Supply_L+;L+;Power;24VDC;24VDC control supply;LOGO supply;Upstream fused control circuit;Measure voltage under load and document fuse
Supply_M;M;Power;0V;Common control reference;LOGO 0V;Defined common reference;Verify common reference with I1 signal source
CycleRaw;I1;DigitalInput;24VDC;Injection molding machine cycle output;One positive edge equals one tool cycle;Interface relay or optocoupler if galvanic/reference unclear;Measure LOW/HIGH levels pulse width and prove one count per cycle
EndPosition;I2;DigitalInput;24VDC;Optional packaging changer sensor;End-position confirmation;Input protection per sensor wiring;Station M01 monitoring remains OFF until sensor is physically validated
LocalAck;I3;DigitalInput;24VDC;Optional local pushbutton;Local technical acknowledgement only;Normal control circuit protection;Optional feature must never replace safety acknowledgement
ValveRelayCommand;Q1;RelayOutput;Potential-free contact;LOGO to 24V interface relay;Triggers packaging changer valve pulse;Externally fused Q1 branch and suitable DC coil suppression;Measure 50/250/750/2500/5000ms pulses before valve connection
ValveInterfaceRelay;External;RelayCoil;24VDC;Q1 to interface relay;Separates LOGO contact from valve load;Coil suppression/freewheel appropriate to relay;Verify pickup/dropout contact current and contact rating
ValveSolenoid;External;InductiveLoad;24VDC;Interface relay to pneumatic valve;Packaging changer actuation;Fuse from actual valve data and suppression if not integrated;Record manufacturer type coil current power suppression and switching direction
VeChangeLamp;Q2;RelayOutput;SiteSpecific;Optional lamp;VE change indication only;External fuse as required;Optional
FaultLamp;Q3;RelayOutput;SiteSpecific;Optional lamp/relay;Technical application fault indication;External fuse as required;Optional and not safety-rated
Ethernet;RJ45;Ethernet;SELV;Production LAN/WLAN bridge;Modbus TCP server connection;Industrial network segmentation and authorized-client restriction recommended;Ping station then TCP502 and Protocol-V3 read test
SafetyBoundary;ExternalSafetyCircuit;Safety;MachineSpecific;Machine safety controller/circuit;Emergency stop guard door safe stop etc;Must remain independent of Partcounter/LOGO application;Prove Partcounter cannot bypass machine safety functions
